[1548613800] LOG ROTATION: DAILY
[1548613800] LOG VERSION: 2.0
[1548620733] SERVICE ALERT: esxi05;ESXi Hardware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EPD Chassis S/N: FCH2216V0Z0  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620861] SERVICE ALERT: esxi05;ESXi Hardware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EPD Chassis S/N: FCH2216V0Z0  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620989] SERVICE NOTIFICATION: nagiosadmin;esxi05;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EPD Chassis S/N: FCH2216V0Z0  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548620989] SERVICE ALERT: esxi05;ESXi Hardware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EPD Chassis S/N: FCH2216V0Z0  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548621348] SERVICE ALERT: esxi06;ESXi Haradware Check;WARNING;SOFT;1;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548621476] SERVICE ALERT: esxi06;ESXi Haradware Check;WARNING;SOFT;2;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 39  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548621605] SERVICE NOTIFICATION: nagiosadmin;esxi06;ESXi Haradware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548621605] SERVICE ALERT: esxi06;ESXi Haradware Check;WARNING;HARD;3;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 40  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548622719] Auto-save of retention data completed successfully.
[1548623075] SERVICE NOTIFICATION: nagiosadmin;esxi03;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
